Bryophyta;Eukaryota;Imperia;Fungi;Gymnospermae;Pteridophyta;Angiospermae
Bissetia;Medicago falcata|Medicago sativa subsp. caerulea;;Fusarium verticillioides;;Craspedaria;Acome
Blasia;Anthoxanthum madagascariense;;Myochromella boudieri;;Craspedodictyum;Acomis
Blepharidophyllum;Hylocereus undatus;;Penicillium nordicum;;Craspedoneuron;Aconiopteris
Blepharolejeunea;Geranium incanum;;Blastomyces gilchristii;;Craspedophyllum;Aconitella
Blepharostoma;Leymus chinensis;;Fomitopsis palustris;;Craspedosorus;Aconitum
Blepharozia;Rumex acetosella;;Plasmodium malariae;;Crepidomanes;Aconogonon
Blindia;Germainia capitata;;Coprinus sterquilinus;;Crepidophyllum;Aconogonum
Blindiopsis;Capsaspora owczarzaki ATCC 30864;;Epichloe festucae;;Crepidopteris;Acontias
Blyttia;Mus musculus;;Exserohilum turcica;;Crypsinopsis;Acophorum
Boulaya;Cirsium eriophorum;;Cairneyella variabilis;;Crypsinus;Acoridium
Brachelyma;Campanula rotundifolia;;Parastagonospora nodorum;;Cryptogramma;Acorus
Brachiolejeunea;Cottoperca gobio;;Aspergillus glaucus;;Cryptosorus;Acosmia
Brachydontium;Helictotrichon convolutum;;Tricholomella constricta;;Cteisium;Acosmium
Brachymeniopsis;Bombus impatiens;;Trichoderma citrinoviride;;Ctenitis;Acosmus
Brachymenium;Origanum vulgare subsp. vulgare;;Asterophora parasitica;;Ctenitopsis;Acosta
Brachymitrion;Hinterhubera ericoides;;Wickerhamomyces ciferrii;;Ctenopterella;Acosta
Brachyodon;Agrostis transcaspica;;Coprinopsis cinerea;;Ctenopteris;Acostia
Brachyodus;Triticum monococcum subsp. aegilopoides;;Tetrapisispora blattae;;Culcita;Acourtia
Brachypodium;Vollenhovia emeryi;;Verticillium nonalfalfae;;Cyathea;Acrachne
Brachysteleum;Mustela putorius furo;;Gelidium caulacantheum;;Cyclodium;Acradenia
Brachytheciastrum;Coffea eugenioides;;Pochonia chlamydosporia;;Cyclogramma;Acranthera
Brachytheciella;Utricularia reniformis;;Purpureocillium lilacinum;;Cyclopeltis;Acridocarpus
Brachythecium;Saussurea medusa;;Setaria italica;;Cyclophorus;Acrilia
Brachytrichum;Agrilus planipennis;;Pyrenophora teres;;Cyclopteris;Acriopsis
Braithwaitea;Acacia woodmaniorum;;Hirsutella rhossiliensis;;Cyclosorus;Acrisione
Braunfelsia;Bromus sterilis;;Agaricus bisporus;;Cyrtogonellum;Acritochaete
Braunia;Solenopsis invicta;;Syzygites megalocarpus;;Cyrtogonium;Acritodon
Breidleria;Avenula pubescens;;Hirsutella thompsonii;;Cyrtomidictyum;Acritopappus
Breutelia;Morus notabilis;;Hypholoma aurantiacum;;Cyrtomium;Acriulus
Brevianthus;Brassica oleracea;;Microsporum canis;;Cyrtophlebium;Acroblastum
Bromeliophila;Stipa magnifica;;Laccaria bicolor;;Cystea;Acrobolbus
Brothera;Daucus carota;;Zygosaccharomyces parabailii;;Cystoathyrium;Acrobotrys
Brotherella;Nassella viridula;;Lactarius sp.;;Cystocarpium;Acrocarpidium
Brotherobryum;Diplostephium hartwegii;;;;Cystodiopteris;Acrocarpus
Bruchia;Arachis duranensis;;;;Cystopteris;Acrocentron
Bryhnia;Poa pratensis subsp. angustifolia;;;;Danaea;Acrocephalus
Brymela;Prangos lipskyi;;;;Danaeopsis;Acroceras
Bryoacantholoma;Cecidomyiidae sp. BOLD:AAH3716;;;;Darea;Acrochaene
Bryoandersonia;Gossypium hirsutum;;;;Dasygrammitis;Acrochila
Bryobartramia;Pyropia kanakaensis;;;;Davallia;Acrocladiopsis
Bryobeckettia;Hordeum vulgare|Hordeum vulgare subsp. vulgare;;;;Davallodes;Acrocladium
Bryobrittonia;Pseudochlorella pringsheimii;;;;Dendroconche;Acroclinium
Bryobrothera;Platynereis dumerilii;;;;Dendroglossa;Acrocomia
Bryoceuthospora;Hordeum murinum;;;;Dendrolycopodium;Acrocoryne
Bryochenea;Corchorus capsularis;;;;Dennstaedtia;Acrocryphaea
Bryocrumia;Froesiochloa boutelouoides;;;;Deparia;Acrodiclidium
Bryodixonia;Stipa pennata;;;;Dermatophlebium;Acrodon
Bryodusenia;Zoysia japonica;;;;Diacalpe;Acroglochin
Bryoerythrophyllum;Aegilops tauschii subsp. strangulata;;;;Diblemma;Acroglyphe
Bryohaplocladium;Dipelta floribunda;;;;Dichorexia;Acrolasia
Bryohumbertia;Ctenoplectra albolimbata;;;;Dicksonia;Acrolejeunea
Bryolawtonia;Ricotia carnosula;;;;Diclidopteris;Acrolophia
Bryomaltaea;Frangula alnus subsp. alnus;;;;Dicranoglossum;Acrolophozia
Bryomanginia;Trifolium pallescens;;;;Dicranopteris;Acromastigum
Bryomnium;Onyxacalles bermejaensis;;;;Dictymia;Acronema
Bryonoguchia;Leymus racemosus;;;;Dictyocline;Acronia
Bryonorrisia;Lecomtella madagascariensis;;;;Dictyodroma;Acronychia
Bryopteris;Achillea acuminata;;;;Dictyogramme;Acropelta
Bryosedgwickia;Dendrocalamus latiflorus;;;;Dictyopteris;Acrophorus
Bryostreimannia;Austrochloritis nambucca;;;;Dictyoxiphium;Acrophyllum
Bryotestua;Bemisia tabaci;;;;Didiclis;Acropodium
Bryowijkia;Chondria sp. (in: Rhodophyta);;;;Didymochlaena;Acropogon
Bryoxiphium;Bambusa multiplex;;;;Didymoglossum;Acroporium
Bryum;Phelipanche tunetana;;;;Diellia;Acropteris
Bucegia;Myotis brandtii;;;;Diphasiastrum;Acropterygium
Buckiella;Gastrocopta ashmuni minor;;;;Diphasium;Acrorchis
Bucklandiella;Argas striatus;;;;Diplaziopsis;Acrorumohra
Burnettia;Crocus sativus;;;;Diplazium;Acrosanthes
Buxbaumia;Citrus limetta;;;;Diploblechnum;Acroschisma
Byssolejeunea;Lathyrus pratensis;;;;Diplopterygium;Acroschizocarpus
Caduciella;Dioon tomasellii;;;;Diplora;Acroscyphella
Calatholejeunea;Pleurobranchaea maculata;;;;Diplostachyum;Acroscyphus
Callialaria;Chusquea rigida;;;;Dipteris;Acrosepalum
Callibryon;Phaenosperma globosum;;;;Discostegia;Acrosorus
Callicladium;Alloeochaete oreogena;;;;Disphenia;Acrospira
Callicosta;Monomorium pharaonis;;;;Distaxia;Acrostachys
Callicostella;Actaea racemosa;;;;Doodia;Acrostemon
Callicostellopsis;Thaumatella adunca;;;;Doryopteris;Acrostephanus
Calliergidium;Poa sibirica;;;;Dracoglossum;Acrostichum
Calliergon;Exostigma notobellidiastrum;;;;Drymoglossum;Acrostolia
Calliergonella;Pseudomyrmex gracilis;;;;Drymotaenium;Acrosynanthus
Calobryum;Cerastium subtriflorum;;;;Drynaria;Acrotome
Calohypnum;Couepia guianensis;;;;Drynariopsis;Acrotrema
Calomnion;Australopyrum velutinum;;;;Dryoathyrium;Acrotriche
Calycularia;Eschenbachia blinii;;;;Dryomenis;Acrymia
Calymperastrum;Musa balbisiana;;;;Dryopolystichum;Acsmithia
Calymperes;Rapana venosa;;;;Dryopsis;Actaea
Calymperidium;Trifolium nigrescens subsp. petrisavii;;;;Dryopteris;Actephila
Calymperopsis;Gossypium exiguum;;;;Dryopteris;Actephilopsis
Calypogeia;Stachyamoeba lipophora;;;;Dryostachyum;Actinanthella
Calyptopogon;Callithrix jacchus;;;;Edanyoa;Actinanthus
Calyptothecium;Thaumatococcus daniellii;;;;Egenolfia;Actinea
